2026-06-27 23:16:25,227 | INFO | __main__ | 🤖 بوت الهدايا الرقمية — يعمل
2026-06-27 23:16:25,296 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8434153156:AAHHBJXDSXmjKjLCtyKctZStbn5gppNLing/getMe "HTTP/1.1 200 OK"
2026-06-27 23:16:25,314 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8434153156:AAHHBJXDSXmjKjLCtyKctZStbn5gppNLing/deleteWebhook "HTTP/1.1 200 OK"
2026-06-27 23:16:25,317 | INFO | apscheduler.scheduler | Scheduler started
2026-06-27 23:16:25,317 | INFO | telegram.ext.Application | Application started
2026-06-27 23:16:25,377 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8434153156:AAHHBJXDSXmjKjLCtyKctZStbn5gppNLing/getUpdates "HTTP/1.1 200 OK"
2026-06-27 23:16:25,430 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8434153156:AAHHBJXDSXmjKjLCtyKctZStbn5gppNLing/sendMessage "HTTP/1.1 200 OK"
2026-06-27 23:16:33,225 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8434153156:AAHHBJXDSXmjKjLCtyKctZStbn5gppNLing/getUpdates "HTTP/1.1 200 OK"
2026-06-27 23:16:33,667 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8434153156:AAHHBJXDSXmjKjLCtyKctZStbn5gppNLing/sendMessage "HTTP/1.1 200 OK"
2026-06-27 23:16:35,319 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8434153156:AAHHBJXDSXmjKjLCtyKctZStbn5gppNLing/getUpdates "HTTP/1.1 200 OK"
2026-06-27 23:16:35,352 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8434153156:AAHHBJXDSXmjKjLCtyKctZStbn5gppNLing/answerCallbackQuery "HTTP/1.1 200 OK"
2026-06-27 23:16:35,356 | INFO | hunter | Hunt loop started — فحص كل 2 ثانية
2026-06-27 23:16:35,361 | INFO | telethon.network.mtprotosender | Connecting to 149.154.167.92:443/TcpFull...
2026-06-27 23:16:35,386 | INFO | telethon.network.mtprotosender | Connection to 149.154.167.92:443/TcpFull complete!
2026-06-27 23:16:35,407 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8434153156:AAHHBJXDSXmjKjLCtyKctZStbn5gppNLing/editMessageText "HTTP/1.1 200 OK"
2026-06-27 23:16:35,897 | INFO | telethon.network.mtprotosender | Disconnecting from 149.154.167.92:443/TcpFull...
2026-06-27 23:16:35,898 | INFO | telethon.network.mtprotosender | Disconnection from 149.154.167.92:443/TcpFull complete!
2026-06-27 23:16:35,898 | INFO | user_client | جلب 11 هدية من تيليجرام
2026-06-27 23:16:35,954 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8434153156:AAHHBJXDSXmjKjLCtyKctZStbn5gppNLing/sendMessage "HTTP/1.1 200 OK"
2026-06-27 23:16:35,956 | INFO | hunter | دورة 1 — فحص 11 هدية مقابل 1 هدف
2026-06-27 23:16:37,959 | INFO | telethon.network.mtprotosender | Connecting to 149.154.167.92:443/TcpFull...
2026-06-27 23:16:37,971 | INFO | telethon.network.mtprotosender | Connection to 149.154.167.92:443/TcpFull complete!
2026-06-27 23:16:38,093 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8434153156:AAHHBJXDSXmjKjLCtyKctZStbn5gppNLing/getUpdates "HTTP/1.1 200 OK"
